age,population,year
Trudering - Riem,64983,2011
Trudering - Riem,65869,2012
Ramersdorf - Perlach,99995,2000
Ramersdorf - Perlach,100387,2001
Ramersdorf - Perlach,100129,2002
Ramersdorf - Perlach,100724,2003
Ramersdorf - Perlach,100844,2004
Ramersdorf - Perlach,101820,2005
Ramersdorf - Perlach,102689,2006
Ramersdorf - Perlach,103447,2007
Ramersdorf - Perlach,104089,2008
Ramersdorf - Perlach,103732,2009
Ramersdorf - Perlach,104737,2010
Ramersdorf - Perlach,105900,2011
Ramersdorf - Perlach,107164,2012
Obergiesing - Fasangarten,43974,2000
Obergiesing - Fasangarten,44143,2001
Obergiesing - Fasangarten,44616,2002
Obergiesing - Fasangarten,44761,2003
Obergiesing - Fasangarten,44473,2004
Obergiesing - Fasangarten,45132,2005
Obergiesing - Fasangarten,47007,2006
Obergiesing - Fasangarten,47791,2007
Obergiesing - Fasangarten,48282,2008
Obergiesing - Fasangarten,48425,2009
Obergiesing - Fasangarten,49030,2010
Obergiesing - Fasangarten,50656,2011
Obergiesing - Fasangarten,51183,2012
Untergiesing - Harlaching,46153,2000
Untergiesing - Harlaching,46580,2001
Untergiesing - Harlaching,46495,2002
Untergiesing - Harlaching,46707,2003
Untergiesing - Harlaching,46462,2004
Untergiesing - Harlaching,46857,2005
Untergiesing - Harlaching,48075,2006
Untergiesing - Harlaching,48990,2007
Untergiesing - Harlaching,49391,2008
Untergiesing - Harlaching,48911,2009
Untergiesing - Harlaching,49502,2010
Untergiesing - Harlaching,50455,2011
Untergiesing - Harlaching,51180,2012
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,76762,2000
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77518,2001
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77659,2002
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77850,2003
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,78057,2004
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,79148,2005
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,80701,2006
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82283,2007
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82771,2008
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82482,2009
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,83584,2010
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,85468,2011
Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,87271,2012
Hadern,41689,2000
Hadern,41858,2001
Hadern,42563,2002
Hadern,42823,2003
Hadern,43396,2004
Hadern,43981,2005
Hadern,44993,2006
Hadern,46059,2007
Hadern,46385,2008
Hadern,46490,2009
Hadern,46851,2010
Hadern,47459,2011
Hadern,47949,2012
Pasing - Obermenzing,59758,2000
Pasing - Obermenzing,60445,2001
Pasing - Obermenzing,60616,2002
Pasing - Obermenzing,61509,2003
Pasing - Obermenzing,62081,2004
Pasing - Obermenzing,62724,2005
Pasing - Obermenzing,63763,2006
Pasing - Obermenzing,64773,2007
Pasing - Obermenzing,65290,2008
Pasing - Obermenzing,65279,2009
Pasing - Obermenzing,66244,2010
Pasing - Obermenzing,67878,2011
Pasing - Obermenzing,69295,2012
Aubing - Lochhausen - Langwied,37423,2000
Aubing - Lochhausen - Langwied,37693,2001
Aubing - Lochhausen - Langwied,37532,2002
Aubing - Lochhausen - Langwied,37566,2003
Aubing - Lochhausen - Langwied,37595,2004
Aubing - Lochhausen - Langwied,37560,2005
Aubing - Lochhausen - Langwied,37857,2006
Aubing - Lochhausen - Langwied,38091,2007
Aubing - Lochhausen - Langwied,38327,2008
Aubing - Lochhausen - Langwied,38268,2009
Aubing - Lochhausen - Langwied,38863,2010
Aubing - Lochhausen - Langwied,39789,2011
Aubing - Lochhausen - Langwied,41116,2012
Allach - Untermenzing,26682,2000
Allach - Untermenzing,26794,2001
Allach - Untermenzing,26903,2002
Allach - Untermenzing,26977,2003
Allach - Untermenzing,27374,2004
Allach - Untermenzing,27586,2005
Allach - Untermenzing,27730,2006
Allach - Untermenzing,28165,2007
Allach - Untermenzing,28796,2008
Allach - Untermenzing,28732,2009
Allach - Untermenzing,29161,2010
Allach - Untermenzing,29693,2011
Allach - Untermenzing,30393,2012
Feldmoching - Hasenbergl,52413,2000
Feldmoching - Hasenbergl,52896,2001
Feldmoching - Hasenbergl,53010,2002
Feldmoching - Hasenbergl,52961,2003
Feldmoching - Hasenbergl,52958,2004
Feldmoching - Hasenbergl,53389,2005
Feldmoching - Hasenbergl,54245,2006
Feldmoching - Hasenbergl,55475,2007
Feldmoching - Hasenbergl,55667,2008
Feldmoching - Hasenbergl,55180,2009
Feldmoching - Hasenbergl,56130,2010
Feldmoching - Hasenbergl,57183,2011
Feldmoching - Hasenbergl,58245,2012
Laim,48534,2000
Laim,48739,2001
Laim,48606,2002
Laim,48708,2003
Laim,48841,2004
Laim,48927,2005
Laim,50028,2006
Laim,50600,2007
Laim,51329,2008
Laim,51338,2009
Laim,51805,2010
Laim,52733,2011
Laim,53359,2012
