year,age,sex,people
1999,5,1,644562
1999,5,2,679062
1999,4,1,644844
1999,4,2,679364
1999,3,1,643039
1999,3,2,678518
1999,2,1,634153
1999,2,2,673456
1999,1,1,629845
1999,1,2,668692
1999,0,1,639551
1999,0,2,668692

1998,10,1,604817
1998,10,2,658370
1998,9,1,607696
1998,9,2,660670
1998,8,1,615410
1998,8,2,662166
1998,7,1,632930
1998,7,2,670663
1998,6,1,643727
1998,6,2,676907
1998,5,1,645959
1998,5,2,680347
1998,4,1,644562
1998,4,2,679062
1998,3,1,644844
1998,3,2,679364
1998,2,1,643039
1998,2,2,678518
1998,1,1,634153
1998,1,2,673456
1998,0,1,629845
1998,0,2,668692

1997,10,1,599156
1997,10,2,654126
1997,9,1,604817
1997,9,2,658370
1997,8,1,607696
1997,8,2,660670
1997,7,1,615410
1997,7,2,662166
1997,6,1,632930
1997,6,2,670663
1997,5,1,643727
1997,5,2,676907
1997,4,1,645959
1997,4,2,680347
1997,3,1,644562
1997,3,2,679062
1997,2,1,644844
1997,2,2,679364
1997,1,1,643039
1997,1,2,678518
1997,0,1,634153
1997,0,2,673456

1996,10,1,620316
1996,10,2,671080
1996,9,1,599156
1996,9,2,654126
1996,8,1,604817
1996,8,2,658370
1996,7,1,607696
1996,7,2,660670
1996,6,1,615410
1996,6,2,662166
1996,5,1,632930
1996,5,2,670663
1996,4,1,643727
1996,4,2,676907
1996,3,1,645959
1996,3,2,680347
1996,2,1,644562
1996,2,2,679062
1996,1,1,644844
1996,1,2,679364
1996,0,1,643039
1996,0,2,678518

1995,10,1,615450
1995,10,2,666163
1995,9,1,620316
1995,9,2,671080
1995,8,1,599156
1995,8,2,654126
1995,7,1,604817
1995,7,2,658370
1995,6,1,607696
1995,6,2,660670
1995,5,1,615410
1995,5,2,662166
1995,4,1,632930
1995,4,2,670663
1995,3,1,643727
1995,3,2,676907
1995,2,1,645959
1995,2,2,680347
1995,1,1,644562
1995,1,2,679062
1995,0,1,644844
1995,0,2,679364

1994,10,1,614114
1994,10,2,663255
1994,9,1,615450
1994,9,2,666163
1994,8,1,620316
1994,8,2,671080
1994,7,1,599156
1994,7,2,654126
1994,6,1,604817
1994,6,2,658370
1994,5,1,607696
1994,5,2,660670
1994,4,1,615410
1994,4,2,662166
1994,3,1,632930
1994,3,2,670663
1994,2,1,643727
1994,2,2,676907
1994,1,1,645959
1994,1,2,680347
1994,0,1,644562
1994,0,2,679062

1993,10,1,618443
1993,10,2,665014
1993,9,1,614114
1993,9,2,663255
1993,8,1,615450
1993,8,2,666163
1993,7,1,620316
1993,7,2,671080
1993,6,1,599156
1993,6,2,654126
1993,5,1,604817
1993,5,2,658370
1993,4,1,607696
1993,4,2,660670
1993,3,1,615410
1993,3,2,662166
1993,2,1,632930
1993,2,2,670663
1993,1,1,643727
1993,1,2,676907
1993,0,1,645959
1993,0,2,680347

1992,10,1,620705
1992,10,2,666375
1992,9,1,618443
1992,9,2,665014
1992,8,1,614114
1992,8,2,663255
1992,7,1,615450
1992,7,2,666163
1992,6,1,620316
1992,6,2,671080
1992,5,1,599156
1992,5,2,654126
1992,4,1,604817
1992,4,2,658370
1992,3,1,607696
1992,3,2,660670
1992,2,1,615410
1992,2,2,662166
1992,1,1,632930
1992,1,2,670663
1992,0,1,643727
1992,0,2,676907

1991,10,1,624203
1991,10,2,667625
1991,9,1,620705
1991,9,2,666375
1991,8,1,618443
1991,8,2,665014
1991,7,1,614114
1991,7,2,663255
1991,6,1,615450
1991,6,2,666163
1991,5,1,620316
1991,5,2,671080
1991,4,1,599156
1991,4,2,654126
1991,3,1,604817
1991,3,2,658370
1991,2,1,607696
1991,2,2,660670
1991,1,1,615410
1991,1,2,662166
1991,0,1,632930
1991,0,2,670663

1990,10,1,628621
1990,10,2,670320
1990,9,1,624203
1990,9,2,667625
1990,8,1,620705
1990,8,2,666375
1990,7,1,618443
1990,7,2,665014
1990,6,1,614114
1990,6,2,663255
1990,5,1,615450
1990,5,2,666163
1990,4,1,620316
1990,4,2,671080
1990,3,1,599156
1990,3,2,654126
1990,2,1,604817
